,Transaction_Amount,Account_Balance,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Age,Transaction_Distance,Is_Weekend,Transaction_Type_Bank_Transfer,Transaction_Type_Online,Transaction_Type_POS,Device_Type_Mobile,Device_Type_Tablet,Location_Mumbai,Location_New_York,Location_Sydney,Location_Tokyo,Merchant_Category_Electronics,Merchant_Category_Groceries,Merchant_Category_Restaurants,Merchant_Category_Travel,Card_Type_Discover,Card_Type_Mastercard,Card_Type_Visa,Authentication_Method_OTP,Authentication_Method_PIN,Authentication_Method_PW
21121,98.47,28419.3,1,0,3,446.15,0,167,3123.72,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
29389,207.67,58470.99,0,0,14,360.61,1,113,12.24,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9945,18.64,8325.4,0,0,3,208.2,1,96,617.56,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
45130,6.47,83437.8,0,0,4,163.51,2,195,1801.9,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
24306,163.47,43116.77,0,0,7,422.33,3,208,4553.15,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5476,181.61,2053.23,0,0,1,421.8,3,163,2445.25,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
7480,149.45,34510.75,1,0,3,46.99,2,190,60.64,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
19633,48.14,82247.45,0,0,2,61.86,2,206,4432.88,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
48204,123.62,85747.12,0,0,10,422.27,1,51,1255.58,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
11048,64.54,98446.82,0,0,14,69.48,2,53,3824.03,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
34634,100.0,10171.97,0,0,5,300.73,0,17,243.88,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0
38468,119.81,70388.91,0,0,9,418.46,4,159,961.65,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
8342,179.67,95677.95,0,0,5,210.46,1,230,2497.72,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
35837,107.02,2830.62,0,0,1,103.44,3,11,654.77,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
18576,214.28,97034.82,0,0,12,67.18,1,124,3391.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
43236,0.89,42236.65,0,0,12,69.35,0,94,1405.42,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
27745,20.05,63769.14,0,0,3,342.82,3,110,1489.89,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
20306,57.57,15619.2,0,0,2,488.11,1,89,28.46,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
43185,83.54,67015.23,0,0,6,10.22,2,159,1528.06,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
20591,282.73,73215.29,0,0,6,430.5,3,42,3444.54,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
1318,144.96,81119.38,0,0,9,448.02,4,70,4532.29,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
3724,241.02,87141.53,0,0,11,147.5,3,177,626.27,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
14457,30.54,60899.66,0,0,2,165.25,2,9,4643.23,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
26924,28.84,8618.33,0,0,11,227.4,3,74,1356.11,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
4685,115.41,35482.08,0,0,8,392.98,3,210,416.14,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
17918,11.11,42736.57,0,0,6,193.38,2,121,1980.77,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
10667,91.97,12130.33,0,0,10,432.46,3,12,3804.16,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
17365,12.21,80978.1,0,0,5,34.8,0,171,436.2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
7624,229.02,90578.91,0,0,2,45.0,1,136,172.26,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
454,94.05,56492.49,0,0,6,439.64,4,70,4607.17,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
18481,119.3,25392.41,0,0,3,97.86,2,152,3892.76,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
255,134.91,93551.86,0,0,4,338.13,1,195,453.58,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
15077,71.67,87159.04,0,0,9,457.14,1,161,2183.01,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
18417,29.36,65139.95,0,0,10,416.02,1,89,251.23,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
45377,34.37,73897.12,0,0,14,17.35,0,160,2978.47,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
35113,249.7,12333.4,0,0,10,14.29,0,188,4094.48,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
459,0.75,22753.43,0,0,13,144.92,3,190,3575.6,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
42593,24.23,74053.81,0,0,11,183.89,0,73,2406.68,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2628,18.75,42095.79,0,0,7,407.43,3,172,2847.95,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
9422,93.35,99991.35,0,0,6,151.16,1,20,459.79,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
4717,237.44,99753.96,0,0,6,466.68,1,23,2412.11,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
41933,317.29,6168.81,0,0,2,380.31,2,26,2613.4,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
25480,26.5,76077.62,0,0,4,24.66,4,167,876.54,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
16928,13.41,94629.3,0,0,12,56.88,2,86,1963.82,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
36149,260.9,31596.98,0,0,12,193.31,3,54,3969.38,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
31275,58.45,87689.06,0,0,14,442.77,3,223,3230.46,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10728,218.18,12036.77,0,0,11,84.72,2,56,1446.42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
10410,6.84,71469.82,0,0,10,404.62,1,170,836.76,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
48793,31.55,83663.51,0,0,1,394.18,2,121,3340.53,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
28182,109.16,66525.17,0,0,14,134.88,4,84,3721.3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
24213,90.36,74355.9,0,0,5,315.44,1,141,4312.75,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
29145,200.63,98245.2,0,0,14,56.78,4,83,4151.33,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
7132,55.12,2157.3,0,0,1,71.0,3,89,4573.0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
23987,0.14,31156.62,0,0,5,315.16,4,116,1716.03,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
29790,4.01,94779.91,0,0,14,50.89,1,158,156.05,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2240,51.64,66592.62,0,0,2,108.68,2,20,2404.97,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2194,99.74,84507.81,0,0,1,202.41,1,232,4330.93,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
1011,492.3,88114.33,0,0,7,247.31,0,151,4997.51,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
48235,70.47,67481.2,0,0,14,31.96,4,225,912.31,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
15818,172.81,23672.0,0,1,4,209.96,3,138,2617.08,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
27607,13.21,60626.23,0,0,4,456.52,4,161,887.13,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
17227,184.83,26862.9,0,1,12,85.06,3,79,2673.17,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
39905,353.82,36588.99,0,0,5,272.08,0,181,664.2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
42926,127.72,87597.82,0,0,2,270.98,2,160,2554.17,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
42507,182.93,5623.04,0,0,8,320.94,3,193,921.44,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
27762,20.34,26503.17,0,0,4,126.46,0,55,234.06,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
41701,62.5,17015.18,0,0,13,436.76,4,168,1005.71,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
19903,195.79,65026.75,0,0,2,28.43,3,196,1213.79,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
42885,116.83,82184.76,0,0,2,319.31,0,4,3762.91,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
20466,104.01,74493.76,0,0,11,227.44,4,158,641.25,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
3008,149.34,13304.54,0,0,1,70.14,2,189,1064.48,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
17142,21.4,72972.4,0,1,6,471.56,4,68,4769.48,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
46944,8.4,54475.69,0,0,12,58.12,0,161,1098.11,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
33266,37.4,46879.66,0,0,13,260.4,1,154,3184.14,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
24744,8.47,3720.52,0,0,13,188.2,3,208,560.6,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3907,11.86,59486.29,0,0,7,490.81,3,5,1126.73,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
41760,56.24,27567.9,0,0,11,477.18,3,206,1754.45,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47287,130.06,64128.38,0,0,6,388.17,4,224,4292.1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
28488,141.14,11136.37,0,0,1,13.47,3,203,16.69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
16200,50.21,48309.25,0,0,13,409.73,2,48,1269.65,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
20077,100.69,40703.88,0,0,11,32.58,1,66,4433.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22620,29.14,40658.63,0,0,3,347.12,2,165,1307.96,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
46701,391.11,18665.92,0,0,10,459.58,2,111,2769.19,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9242,86.52,84560.02,0,0,1,168.61,1,40,4018.83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15398,41.58,8919.46,0,0,10,63.93,1,131,1971.03,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
34718,92.54,48564.54,0,0,1,15.36,3,57,3814.77,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
17741,122.16,18813.39,0,0,10,300.35,4,146,483.06,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0
11379,35.25,16838.13,0,0,12,377.64,2,157,2444.02,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
34641,172.41,77782.84,0,0,7,172.36,2,93,354.37,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1632,70.21,98403.88,0,0,4,492.06,4,144,1415.77,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
30504,24.83,65825.06,0,0,9,483.5,2,167,4852.49,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
42848,222.92,38565.98,0,0,1,474.29,2,61,4526.35,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
29577,27.78,68437.5,0,0,4,402.97,2,83,3129.57,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
49833,131.96,54976.93,0,0,1,339.41,3,14,3419.55,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
985,87.73,73349.44,0,0,12,234.15,2,52,611.28,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
37436,60.14,84346.18,0,0,10,365.94,2,115,4259.21,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43651,128.73,6526.18,0,0,1,129.66,1,31,2947.29,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
46566,17.9,20883.08,0,0,12,299.28,1,18,3902.96,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
38195,92.1,18830.44,0,0,2,120.07,0,130,4901.01,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
10321,74.45,58365.04,0,1,8,90.75,2,217,1029.66,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
19391,185.77,3668.73,0,0,7,340.59,2,230,1038.97,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
41177,221.45,40649.98,0,0,2,375.44,3,95,4154.5,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
17958,63.87,963.89,0,0,14,401.95,3,186,2882.79,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
21660,47.17,93475.65,0,0,13,44.0,3,34,1967.3,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2325,20.25,3871.67,0,1,12,154.36,3,165,3324.41,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
2991,249.48,40706.29,0,0,6,238.76,3,4,8.43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7900,23.16,94571.06,0,0,10,47.39,2,184,4712.16,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
23325,32.17,62211.73,0,0,9,89.35,3,175,3687.39,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
37005,41.47,53562.53,0,1,14,458.57,1,148,3813.42,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
14073,82.46,40951.09,0,0,13,350.41,4,160,3369.68,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
46623,76.73,14456.07,0,0,4,322.79,0,231,253.89,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
43939,206.54,60157.76,0,0,12,438.55,2,217,871.18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
16447,55.14,61232.08,0,0,6,399.53,3,31,1745.34,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
4687,59.85,22591.48,0,1,4,434.47,0,182,648.26,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
45553,3.69,45915.3,0,0,7,108.42,0,56,1833.42,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
45242,21.98,84072.83,0,0,8,397.59,3,111,4856.33,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
44632,115.58,81203.56,1,0,11,125.82,2,29,3761.95,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
10703,15.49,9715.0,0,0,2,137.98,3,125,4838.99,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
24546,25.52,57926.45,0,0,13,239.1,0,62,4807.59,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
45510,52.79,94107.99,0,0,5,197.86,4,47,3706.42,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
33257,232.08,16701.25,0,0,9,393.14,4,59,2860.26,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
39379,167.68,31267.34,0,1,9,281.67,2,180,2487.68,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
39214,27.87,43534.83,0,0,1,241.56,1,50,4970.49,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
11749,7.52,16045.58,0,0,8,134.67,1,125,1139.71,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
39796,14.1,95504.57,0,0,13,163.76,1,185,2944.39,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
27710,7.4,93741.36,0,0,7,256.76,4,65,1972.63,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
41822,198.4,66991.44,0,0,4,181.49,3,123,304.34,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
12438,187.29,71445.67,0,0,12,265.0,1,130,3670.66,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
7299,134.38,8707.64,0,0,1,298.12,3,123,3407.23,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
25460,19.28,27450.96,0,1,4,187.7,3,194,2050.59,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
7689,53.72,78226.61,0,0,13,361.48,0,82,470.3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0
44019,46.09,93479.96,0,0,7,203.32,3,85,508.67,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
17128,97.18,26056.06,0,0,3,256.98,1,202,2464.31,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
22009,47.29,49689.84,0,0,14,181.83,3,142,2466.79,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
39462,31.96,65434.66,0,0,3,291.31,1,95,2090.27,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
18473,17.42,38910.02,0,0,8,441.39,1,179,4560.15,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
298,83.57,9984.54,0,0,11,51.1,4,200,2664.62,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
39856,0.05,99269.9,0,0,1,369.49,3,117,3452.72,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5114,98.39,8096.37,0,0,6,345.65,4,160,4671.18,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
38598,27.84,30343.11,0,0,10,463.34,3,228,4508.37,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
17955,1.55,64048.69,0,0,10,450.58,1,119,2838.71,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
14877,70.43,66324.36,0,0,6,260.25,3,107,604.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
40453,57.5,85130.28,0,0,12,40.7,2,191,1037.12,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
46402,65.49,51064.35,0,0,3,188.84,0,109,3979.25,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
35473,37.09,39114.73,0,0,1,194.94,3,236,1268.34,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
41608,177.02,33243.2,0,0,5,68.64,4,76,4359.22,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
45834,586.87,59299.5,0,0,13,148.59,0,52,3213.53,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
34840,15.92,18495.97,0,0,2,111.73,4,219,3719.91,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
37720,25.72,1167.54,0,0,10,452.71,1,42,2436.56,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
12802,10.57,28724.73,1,0,10,459.03,2,130,2161.85,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
8801,30.26,38254.08,0,0,3,307.3,0,63,4715.93,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
40660,70.49,38180.34,0,1,1,86.83,0,66,69.09,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
13764,13.25,23008.46,0,0,14,483.21,2,34,1942.29,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
38318,23.65,25977.87,0,0,11,132.45,3,121,2199.57,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
36695,26.07,90761.96,0,0,4,235.78,3,194,4919.07,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
20309,107.13,79125.59,0,0,12,127.63,3,226,3191.06,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
20462,87.67,89400.72,0,0,7,112.15,2,58,1463.97,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
42742,156.61,73404.67,0,0,14,349.03,3,80,4269.34,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
36947,19.82,1623.76,0,0,6,362.93,3,33,3862.98,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
42452,27.93,6884.72,0,0,6,304.08,2,193,1910.98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
9087,255.98,61418.31,0,0,9,73.05,0,64,2973.6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
19627,130.18,47792.8,0,0,11,499.05,2,139,2960.3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2835,98.76,63670.3,0,0,9,105.04,2,43,3313.93,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
8207,13.5,99246.8,0,0,12,345.58,2,10,4808.4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
42458,9.21,60568.63,0,0,2,84.74,1,165,1757.52,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
46003,45.2,27597.43,0,1,4,484.79,1,238,1496.27,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
28067,136.03,87644.93,0,0,14,265.06,0,161,3757.37,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
3269,263.31,7696.1,0,0,1,414.42,2,46,3239.03,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
24477,71.13,99532.9,0,0,8,46.38,3,35,1254.53,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
40039,128.26,50294.14,0,0,1,26.92,3,213,2334.14,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
15883,69.08,38024.9,0,0,5,103.04,3,124,4049.39,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
17172,77.81,72798.67,1,0,1,117.92,3,21,915.86,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
21324,71.66,32564.95,0,0,10,393.12,1,190,3100.08,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
20457,21.27,63552.43,0,0,11,308.75,0,64,3803.76,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
10162,53.26,80732.92,0,0,5,260.48,3,217,2576.14,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
43128,62.39,80806.3,0,0,2,243.25,4,147,1371.58,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
38189,33.59,74065.61,0,0,9,315.66,2,15,4122.49,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
29687,112.09,18418.5,0,0,10,371.8,3,219,964.79,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
11422,1.72,90636.24,0,1,12,19.45,1,205,612.24,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
30334,60.35,9025.83,0,0,10,70.98,0,211,828.73,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
23406,132.21,59002.05,0,0,4,167.44,0,116,3197.68,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
10954,77.85,85883.23,0,0,13,180.41,3,26,3522.61,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
12528,129.02,63107.44,0,1,2,241.6,0,196,1692.83,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
48896,295.15,75460.01,0,0,11,323.39,0,40,4939.92,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
21567,157.34,31923.4,0,0,1,314.28,4,171,3459.01,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
441,134.75,4178.52,0,0,10,347.06,3,31,803.56,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
41731,207.86,11431.54,0,0,4,443.16,0,136,734.29,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
18702,198.8,73078.63,0,0,2,331.41,4,61,58.17,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
3355,410.14,64057.13,0,0,4,87.77,1,24,4169.56,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
9636,14.6,82913.53,0,0,9,117.8,4,54,2813.61,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
23567,267.09,45482.67,0,0,8,54.72,2,102,3036.76,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
36006,33.1,83790.6,0,0,5,257.44,3,46,3092.98,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
44164,32.14,73200.72,0,0,11,421.56,4,187,4193.73,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
